Gap Name	Opp Segment	Opportunity	Deal Motion	Product Line	Product Area	Product Capability	Severity Score	Severity	Is Industry Gap	Is International Gap	Created By	Created Date	CI Notes Header	ACV Bin	Opportunity Stage 	Brainstorm	CI Notes	Opp Close Date	Functionality Requirement	Headliner Feature	Gap ID	Industry Specific Gap Detail	Available Capability	Pain point(s)	Proposed Solution	Country Specific Gap Detail	Opp Pipeline Stage	Gap Summary	Type of Gap	Gap Status	Opp ID	Acct Super Industry	# Gaps
PG-00013258	North America	A-LIGN Compliance and Security - Projects	Core Customer - Expand with Other	Talent Management	Talent Acquisition	Candidate Job Application Flow;Communications and Notifications	5	Tolerable, but Requires Some Manual Effort (5)	No	No	Richa Marathe	03/31/2026	No CI Notes	ACV 0(K) to 300(K)	Open			20/11/2026	"Template Editor: A rich-text editor allowing users to create and save predefined subject lines and email bodies.

Trigger Integration: The ability to select a specific template directly within the ""Schedule Interview"" workflow.

Default Settings: Option to set a ""standard"" template for specific stages to minimize clicks."	"Dynamic Communication Templates
A centralized library for creating, managing, and deploying reusable messaging templates for interview scheduling and candidate updates."	aTEVT0000003ctZ4AQ	 		"Operational Inefficiency: Recruiters waste significant time manually copy-pasting text from external documents into the platform for every interview.

Consistency Risk: High probability of ""human error"" (e.g., leaving the wrong name or old link in the body) due to manual editing.

Brand Fragmentation: Difficult to ensure a unified tone of voice and professional branding across the entire recruiting team without locked templates.

Competitive Disadvantage: The customer perceives our tool as higher-friction compared to Greenhouse, which offers a more automated communication flow."			1- Qualify		Feature	Open	006VT00000nnTz7YAE	Technology & Media	1
PG-00013225	North America	Goodwill Industries of Southeast Louisiana - HCM, Pay	Prospect - Land with Core	Talent Management	Talent Acquisition	Screening and Assessments	5	Tolerable, but Requires Some Manual Effort (5)	No	No	Sarah Mattingly	03/30/2026	No CI Notes	ACV 300(K) to 500(K)	Open			26/06/2026	Integration with Carolin Profiles for employee assessment testing	Integration with Carolin Profiles for employee assessment testing	aTEVT0000003c2L4AQ	 		currently manual, ideally pushed to candidate and triggered based on dispositining to a step	Integration with Carolin Profiles for employee assessment testing		3- Engage		Integration	Open	006VT00000c1sQIYAY	Non-Profit	1
PG-00013213	North America	The Atlantic Packaging Group - HCM, CP, REC, TT, AM	Prospect - Land with Core	Talent Management	Talent Acquisition	Interviews	5	Tolerable, but Requires Some Manual Effort (5)	No	No	Kamal Gadzhialiev	03/30/2026	No CI Notes	ACV 300(K) to 500(K)	Open			23/10/2026	Ability to suggest time slots and allow recruiters to override a busy interviewer calendar when needed.	Cannot override busy calendar when scheduling interviews. Does not allow to find best suitable time block if one's manager calendar is fully busy	aTEVT0000003biz4AA	 		Delays in scheduling, increased manual coordination, slower hiring. We have to include Paradox into the scope for this gap, i wish we could handle this with Workday Core Recruiting out of the box	Enable controlled override of busy calendar slots with warning/confirmation.		3- Engage		Feature	Open	006VT00000mBwhlYAC	Manufacturing	1
PG-00013187	North America	HCSC - CE, CEXP	Core Customer - Expand with Other	Talent Management	Talent Acquisition		3	Risk of Deal Loss (3)	No	No	Bridget Dal Bello	03/28/2026	CI Notes	ACV 300(K) to 500(K)	Open		Beamery & Phenom can do this	31/01/2027	The goal is to source candidates pre-application. LinkedIn Recruiter Connect can support this, but it depends on manual recruiter selection rather than automatically identifying and pushing candidates into the ATS through AI.	Lack of automated Sourcing from outside systems	aTEVT0000003b334AA	 		We require beamery to do this automatically, but Phenom does this natively without a third party.	We’re proposing LinkedIn Recruiter Connect or a third-party solution like Beamery in addition to Workday, Paradox, HiredScore, and CE. Given that we’re most likely competing against Phenom—which delivers this capability natively—this approach is not ideal.		3- Engage		Feature	Open	006VT00000ni781YAA	Healthcare	1
PG-00013155	North America	OpenGov, Inc. - JRNY, REC, AIRC, PARADOX	Core Customer - Expand with Non-Core	Talent Management	Talent Acquisition	Communications and Notifications	4	Requires Significant Manual and/or Costly Workaround (4)	No	No	Ashley Gonzalez	03/26/2026	CI Notes	ACV 0(K) to 300(K)	34- Merged Opportunity		OpenGov says one thing Ashby does really well is display beautiful notifications and approvals in slack. They want this experience to persist if they move to Workday TA Suite. They also want the notifications to display similarly to how they are designed with Notification Designer for email notifications.	24/04/2026	OpenGov says one thing Ashby does really well is display beautiful notifications and approvals in slack. They want this experience to persist if they move to Workday TA Suite. They also want the notifications to display similarly to how they are designed with Notification Designer for email notifications.	Slack integration for approvals + notification designer for slack notif's	aTEVT0000003aDR4AY	 		Have to log into system for simple approvals. Ugly text based approvals - hard to clearly understand the purpose.	I let them know this will likely be vastly expanded next year under the Recruiting Agent umbrella. But just logging it for tracking purposes.		34- Merged Opportunity		Integration	Open	006VT00000ggDLdYAM	Technology & Media	1
PG-00013118	North America	County of San Mateo - Recruiting	Core Customer - Expand with Other	Talent Management	Talent Acquisition	Screening and Assessments	5	Tolerable, but Requires Some Manual Effort (5)	No	No	Joanne Hilty	03/25/2026	No CI Notes	ACV 0(K) to 300(K)	Open			30/10/2026	They need to hire new workers into positions before the person in the position vacates it.	Job Overlap can't be used because it messes up Position Control	aTEVT0000003ZHN4A2	 		During Recruiting demo, they said they can't use the Job Overlap feature because it messes up their position control too much (will try to gather more details to see what gets messed up with PC but they appeared to have tested it extensively for possible workarounds)	Perhaps creating a temporary position for the person vacating but this would also be manual and high-volume for a large County.		1- Qualify	Job Overlap can't be used because it messes up Position Control	Feature	Open	0064X00002SGg5xQAD	Public Sector	1
PG-00013088	North America	Bank of Montreal - HiredScore AIRC AITM	Core Customer - Expand with Other	Talent Management	Talent Acquisition		3	Risk of Removal of SKU from Deal (3)	No	No	Vandana Mehta	03/23/2026	No CI Notes	ACV 300(K) to 500(K)	Open			15/08/2026	Enable resume parsing when Candidate applies using Candidate Experience agent -- Olivia.	Resume parsing when Candidate applies using Candidate Experience agent -- Olivia.	aTEVT0000003YUz4AM	 	Representative Capability is not in list	This means that a lot of rich information about the candidate remains in the resume and does not parsed. which is a huge gap in the process.	Enable resume parsing when Candidate applies using Candidate Experience agent -- Olivia.		2- Discover	Candidates provide a lot of rich information on the resume which should be parsed into corresponding fields with WD rec, that can enable further analysis of candidates and reporting. Enable resume parsing when Candidate applies using Candidate Experience agent -- Olivia.	Feature	Open	0064X00002UfgcYQAR	Financial Services	1
PG-00013074	North America	Skadden, Arps, Slate, Meagher & Flom LLP-FY28	Core - Renewal Uplift	Talent Management	Talent Acquisition	Candidate Job Application Flow;Candidates and Prospects;Interviews;Job Application Process;Job Requisitions	3	Risk of Removal of SKU from Deal (3)	Yes	No	Brandon Londo	03/23/2026	CI Notes	ACV 500(K) to 5000(K)	Open		In the Legal Industry, we often lose Talent Acquisitions SKUs from deals as prospects chose a more industry-specific tool like VI Recruit or a niche solution.	30/01/2028	Customer requires a legal industry recruiting solution. This includes the ability to upload casework and legal matters during the application process, integrate with law school systems to pull data on legal intern applicants, and pull transcripts from law schools for interns.	Multiple Features Lacking	aTEVT0000003Y8P4AU	Legal Industry gap		These are common pain points in the legal industry.	Manual work arounds or another solution.		0- Upcoming		Feature	Open	006VT00000LmbwoYAB	Professional & Business Services	1
PG-00013071	North America	Ampirical Solutions - WorkdayGO Refresh HCM	Prospect - Land with Core	Talent Management	Talent Acquisition		1	Significantly Contributed to Removal of SKU (1)	No	No	Kevin Picollo	03/21/2026	No CI Notes	ACV 0(K) to 300(K)	Open			03/04/2026	Prospect wants ability for recruiters to stack rank candidates directly within the candidate grid. This can kind of be accomplished in a slanted kind of way with candidate / pools however this solution does not directly align with needs	Stack rank candidates	aTEVT0000003Y3Z4AU	 	Representative Capability is not in list	Ability to organize candidate data and properly vet, assess and rank them to find best fit talent	Proposed ability to leverage talent / candidate pools to kind of achieve stack ranking capabilities		7- Won/Customer Signed		Feature	Open	006VT00000jVyM9YAK	Professional & Business Services	1
PG-00013057	North America	Ardent Health- Paradox	Core Customer - Expand with Other	Talent Management	Talent Acquisition		5	Tolerable, but Requires Some Manual Effort (5)	No	No	Tony Knepp	03/20/2026	No CI Notes	ACV 300(K) to 500(K)	Open			21/10/2026	In icims today recruiters are able to text hiring managers speeding up time to recruit candidates.	Recruiters being able to text Managers	aTEVT0000003Xgz4AE	 		There is no way for a recruiter to text a manager in Workday about their candidates potentially slowing down time to hire for candidates.			0- Pre-qualify		Feature	Open	006VT00000nBwsTYAS	Healthcare	1
