Talent Acquisition Available Metrics,,INSTRUMENTATION EPIC - HRREC-86625,"Questions? - Contact Erin Overland, Chelsea Layton, and Ronan Walsh",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Category,Business Value Metric,Calculation Description,Status,Jira Link,Notes on Metric / Calculation,High Level Approach to Getting Data on Metric,PM Owner,Dev Owner of Data Gathering,Raw Data Analysis Results,Slideware,Additional Notes,Metric ID,Dashboard/Deeper Analysis Expected,Defined,Build,Data Ready in Prod tables,Dashboard ,Marketing,Baseline/Diagnosis Study,DS Next step
Time to Hire,Time to Hire,"Start Date: the date that the Job Requisition/Evergreen is posted - if there's multiple postings we consider the date of the first posting.

End Date: Latest Offer Accepted Date",Delivered,HRREC-81527,"- This metric excludes employment agreement (will exclude many of our non-US customers from having a result and therefor isn't reallllyyy representative of our customer base
- This one looks at latest offer accepted, (new one looks at first offer accepted) - latest might skew results to be higher (maybe) due to evergreen and position management- 

We will use this IUM for now. However, we would like to instrument Time to First Fill, below, to better capture out global customer base and more accurately account for evergreens and position mgmt.",IUM,Joanne Neilan Erin Overland,,"doc, and notebook code or the dataset in spreadsheet.",,,,Yes,Done,Done,Done,Done,Done,In Progress,Markos working on deep analysis
Time to Hire,Time to (first) Fill,"Start Date: Date First Job Posting is live

End Date: Job Offer Accepted (if position mgmt, first position offer accepted)",Deprioritized,NA,"Not JR submitted/approved, JR Close, Offer delivered, not butt in seat bc there can be a lag
job mgmt has one and position management it's the first one
need to consider no-shows for certain industries
dont need to consider the post/unpost/post - just consider first post
evergreens out of scope - should think of keeping JRs linked to Evergreen out of scope",,,Pierce Currid,,,,,No,Done,Not Started,Not Started,Not Started,Not Started,Not Started,Deprioritised
Time to Hire,Time to Hire for Internal Candidates,,Not Started,HRREC-89120,,,,,,,,,,,,,,,,
Time to Hire,Time to Hire for Agency Candidates,,Instrumentation in Progress,HRREC-89061,,,,,,,,,,,,,,,,
Interview - Time,Time to First Interview Session,,Delivered,Hrrec-87961,see interview dashboard,,,,,,,,,,,,,,,Replaced with Interview Session metric
Interview - Time,Time to First Interview Team Creation,Time from Job Requisition Initiation to FIRST MISST Submission,Delivered,,Metric available in Interview Management dashboard: https://nimbus.wdpharos.io/superset/dashboard/489134ab-4d99-4ab1-a9df-a524ea295c1c/?native_filters_key=QQoics9QOZtSLKVXBfPgQd3NnuzekIyrddnOBDm4ZCd24W-Jwxd83pR1jI5pnOCd,,,,,,,,,,,,,,,
Interview - Time,Time from Interview Session to Interview Feedback,,,HRREC-88029,,,,,,,,,,,,,,,,
Interview - Time,Time in Interview BP,,Delivered,,see interview dashboard,,,,,,,,,,,,,,,
Interview - Volumes,Total number of interviewers,,Delivered,HRREC-87961,see interview dashboard,,,,,,,2687,Yes,Done,Done,Blocked,Not Started,Not Started,Not Started,"Nov 21: Data not yet ready to be picked up. 
""(IUM) Time from Interview to Interview Feedback"" & ""(IUM) Time to Interview Session""??"
Interview - Volumes,Total number of interview sessions,,Delivered,,see interview dashboard,,,,,,,,,,,,,,,
Interview - Volumes,# of job applicants with at least one interview,,Delivered,,see interview dashboard,,,,,,,,,,,,,,,
Productivity,Recruiter Capacity,Avg. # of JRs a recruiter is assigned to ,Delivered,HRREC-86870,,,,,,,,,,,,,,,,
Productivity,Recruiting Coordinator Capacity,Avg. # of JRs a recruiting coordinator is assigned to ,Delivered,,see interview dashboard,,,,,,,,,,,,,,,
Retention,New Hire Retention,,Delivered,,,,,,,,,,Yes,Done,Done,Blocked,Not Started,Not Started,Not Started,
